0,779,13869
0,5583,13881
0,5407,13882
0,4643,13952
1,5408,9119
1,1128,9280
1,4524,9317
1,3020,9368
2,5457,10230
2,614,10485
2,1051,10511
2,1017,10574
3,5431,4645
3,947,5068
3,4011,5069
4,5028,10216
4,5453,10256
4,4551,10283
4,3885,10293
5,5383,12138
5,4185,12566
5,5017,12638
5,2313,12639
6,414,1519
6,2386,1608
6,5377,1671
6,763,1672
6,2478,1673
6,5189,1770
6,1797,1808
7,3004,14016
7,2593,14117
7,4872,14118
7,1197,14119
7,5331,14131
8,4035,14570
8,4058,14693
8,4944,14707
8,5046,14708
8,575,14709
8,5404,14710
9,5525,6929
9,2154,7598
9,3425,7599
9,3408,7600
10,2732,7323
10,-1,7412
10,1137,7413
10,3912,7536
11,5563,5753
11,5634,5956
11,4107,6610
11,2663,6611
11,4157,6644
12,4847,12188
12,770,12247
12,5485,12248
12,2217,12288
13,1019,14342
13,5331,14504
13,5053,14505
13,5022,14559
14,3703,4379
14,3467,4399
14,2302,4444
14,970,4545
14,5491,4546
14,3454,4629
15,3745,9776
15,2385,9812
15,3197,9825
15,977,9826
15,5400,9827
15,4988,9926
16,5497,8239
16,4553,8378
16,3132,8475
16,713,8601
17,958,2049
17,5369,2113,2114
17,907,2115
18,4632,2010
18,-1,2099
18,4601,2242
19,2279,16929
19,3505,16948
19,5488,16970
20,4454,8891
20,5537,8934
20,4384,9014
20,951,9015
21,5612,14060
21,3256,14369
21,1022,14402
21,760,14499
22,5374,9479,9480
22,1083,9948
22,4417,10008
22,2504,10009
22,1005,10021
22,2093,10080
23,5390,4257
23,1010,4724
23,1788,4840
23,3758,4841
23,2890,4842
24,5647,6394
24,3656,6488
24,1060,6545
24,4729,6572
24,3815,6573
24,750,6574
25,1041,12378
25,967,12404
25,5309,12428
25,5386,12429,12430
25,5498,12431
25,4390,12432
25,853,12435
25,654,12538
26,5573,207
26,1139,284
26,776,319
26,4478,336
26,2979,337
26,4961,338
26,1054,350
26,3168,399
27,2954,3170
